Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
bc1qr5ng69rd4acynem4k23s0npt84feftw0fxkskhj0957lrpmfux9q5rqvm4,2,1,3.11E-05,1,3.11E-05,0
bc1qer9plr2dr7eclzeeaqmcpns40nvntwr8u8rz4729dj3fxap3zzpqd32jr4,2,1,5.61E-05,1,5.61E-05,0
bc1quc8aj6rq846e0ur6q93dfp38pf7mw538arum4ywne599trcdz3ps9j0gaj,2,1,3.11E-05,1,3.11E-05,0
bc1q23u86hdu2gpnpa9pz7qkf2yr0t5z6cu70qfhatdzjnheglwp3pysxqqgnv,2,1,3.11E-05,1,3.11E-05,0
bc1qp7jchgzketp6t4h2687qexeqgzt48ldz6tdtkurzwrxyta6eh84sftfs2k,2,1,3.11E-05,1,3.11E-05,0
bc1q44ez5wqwg0lqra0phak0ef6nuyjtlu86y59jsw02dx86p0q36xus353j2z,2,1,0.00319364,1,0.00319364,0
bc1qfcf4rn40vdzs9lc6n0n7x0sjrm3vzsjg0anyju,2,1,0.05000095,1,0.05000095,0
13z3KZceqUVQrg8zZKVE7cDnRKqT3M18td,2,1,0.1685316,1,0.1685316,0
bc1qayq0vxcl38z9r426uuqddmha43m4dsuglq8pzm,2,1,0.05000095,1,0.05000095,0
bc1qefq9wg59k2jcapacgpg3fxxn3x7hszly0t62rs,2,1,0.00011463,1,0.00011463,0
bc1qjhy03z0puvts9u74r4l6yuq20r3jrr6w2xz08f,2,1,0.00755976,1,0.00755771,-2.05E-06
bc1qlfmyyj2emt5gm2w4zf0lt7zc9n7xzg2z4gea8c,2,1,0.0074033,1,0.00740125,-2.05E-06
1FZZdSaHyLnruh5stAhdQj39BjZL6jctkq,2,1,0.000952,1,0.000948,-4.00E-06
1DSaRyK231T88WUtc36vM8b5TUN1o8vXet,2,2,2.01E-05,0,0,-2.01E-05
13tYZYPWnCP1HuHzHDK5B3EyVuGm9XrKgj,2,2,2.29E-05,0,0,-2.29E-05
12wwjCPq8xHKJkjwzDHHaZx2qkZ2RBVuWz,2,2,5.29E-05,0,0,-5.29E-05
15YcCDCfy1eYZMchZaiG5ZKfNV5zMiecBj,2,2,7.65E-05,0,0,-7.65E-05
bc1qerzgsq90yhz8kg8kg96rle3faxtmq778z9tykl,2,1,8.88885094,1,8.88877388,-7.71E-05
1EPJ7T2NfXrhACk6L1EGTmsC66sHqjdjDY,2,2,9.53E-05,0,0,-9.53E-05
177ghYZR6CJJBkWxh2Fn9eu83ZCbzGJxMF,2,2,9.89E-05,0,0,-9.89E-05
1Q4QzqmEPx7y1vs4cnQSVn8gbVKKb9qtcW,2,2,0.0001002,0,0,-0.0001002
13KewH1Su2vXf7nAifikZAKUr9JmBDRpUk,2,2,0.00011362,0,0,-0.00011362
1795RS7oLDvUuckxJqPvBkSVW1dfyywzcw,2,2,0.00013088,0,0,-0.00013088
1Q6cfLU9AddzWmTot1DxnM1VzGuzsceveF,2,2,0.0001318,0,0,-0.0001318
38HXuRydsE46qxjCixJrYCc7vRzjELuks6,2,2,0.0001436,0,0,-0.0001436
13nZt56D5hVtNV1yTmQchKYPGbaoCCjpiU,2,2,0.00014714,0,0,-0.00014714
17bezioD6F26ekvy7jVL5wCWHU1QbzSKNS,2,2,0.00014856,0,0,-0.00014856
1MvDdegBA6atBFEpCpkeph69xcm4KYwLSn,2,2,0.0001534,0,0,-0.0001534
17onW83a12mb7gDJT6HFE8Xg986YhX9SkF,2,2,0.00015976,0,0,-0.00015976
1Q8JsZdsnqSHqVGEcuDMkbzs8VAasvTHci,2,2,0.00015984,0,0,-0.00015984
15sbB5bmHFi3ndDiPzDWdDA5BjiKtLEvmM,2,2,0.00017098,0,0,-0.00017098
1PV2aHCoQwJiWXduQqrxAQu2DKn5o5T3Tq,2,2,0.00018372,0,0,-0.00018372
13sQeWVnzdpxkmVY1cGa2R9ntbFm6h14Ae,2,2,0.00018702,0,0,-0.00018702
1GWwm7uRfSTLhWkD4RL14Dn8DAq4pLMDEd,2,2,0.00019054,0,0,-0.00019054
1PYvisR2J7wqjzjKd3eD7qwrxJSmA8X9au,2,2,0.0001935,0,0,-0.0001935
bc1qrfwnqknc69qc0s2e3aurfwgpjzk3sahvsgdkx6,2,1,0.00053369,1,0.00029162,-0.00024207
3JK8TpzeBi6nTKkuHFjhC4K5kAo9XNUj5R,2,2,0.00028714,0,0,-0.00028714
bc1q56r68wartuvydmxncr5rg45yp4dqy73mfkr8yq,2,1,0.00796127,1,0.00764649,-0.00031478
bc1qjj5ua05vtfln5rrvwn6cuk9l34qhfldsfzh4pn,2,1,2.40335931,1,2.40303758,-0.00032173
bc1qz78gn7k6pm0j2yz6802g5uy2sywrl9w8qmaqcr,2,1,0.05180471,1,0.05144618,-0.00035853
bc1qgg27ykmgvylrnmq4c0vaelqw97jq27tu35cql5,2,1,0.00064311,1,0.00025543,-0.00038768
bc1qr7u2g0snhs2q700dxfpj6r0lryprnkxtarwxuxyshrm9qyml6sdq6whdqu,2,1,0.01090673,1,0.01047409,-0.00043264
bc1qkeafpt86wyxqg2qz3zmn38scpsegdcq3srkyvj,2,1,0.0075074,1,0.00701767,-0.00048973
bc1qp9gxut7vj573wgk02y7rgyt2raxnh0g7rydszj,2,1,4.47118995,1,4.47069748,-0.00049247
bc1q7xn09w40szu3mmadstrwp8hns5chcmvy7l6mh5,2,2,0.00051294,0,0,-0.00051294
3DK5K7sBsv3YznWjM1hDZV8cJqit37snD1,2,1,0.07283605,1,0.07231,-0.00052605
